PDB,VINA,GlideSP,HMS,DSX,RFScore,Experimental
11gs,-6.9823,-10.2,-10.05769169,-157.042,-9.05858988297,-8.040627145
1a1c,-5.56902,-8.4,-9.035343905,-122.424,-8.52383249071,-8.841926757
1a1e,-5.66383,-8.21,-9.187314521,-120.361,-8.48821472294,-8.289306335
1a4r,-7.88176,-9.08,-8.206413271,-130.917,-7.45096503603,-9.201130032
1a7x,-12.49152,-13.68,-13.44249177,-230.358,-11.6064893303,-13.40104524
1a94,-8.85884,-14.84,-13.11091952,-284.139,-9.31513112824,-10.84517579
1a99,-3.90726,-7.39,-6.797231195,-47.758,-8.51951609506,-7.874841018
1a9m,-8.26766,-11.46,-10.62412762,-207.676,-9.37099260432,-9.560333306
1aaq,-8.68395,-12.42,-11.59121336,-211.625,-10.2927763092,-11.60502887
1abf,-6.54436,-7.77,-7.957734081,-57.354,-6.25871367601,-7.488006722
1add,-7.77067,-7.4,-8.234044293,-106.105,-9.84077764433,-9.311654116
1ado,-3.9531,-6.53,-6.341319346,-51.411,-5.87449841936,-8.289306335
1af6,-7.25445,-6.31,-8.261675314,-97.028,-7.41433879198,-2.514422922
1afk,-6.39299,-7.78,-8.137335719,-97.85,-8.054086873,-9.145867989
1afl,-5.96615,-7.08,-7.639977339,-104.536,-7.84481208481,-8.67614063
1agm,-8.90498,-8.97,-10.51360353,-186.39,-8.28682831463,-16.57861267
1ai4,-5.62132,-8.43,-7.460375701,-64.693,-7.6336799737,-3.45387764
1ai7,-5.466,-5.85,-7.239327532,-47.551,-5.98047203618,-5.650543818
1aid,-8.63858,-7.32,-10.48597251,-115.028,-9.21351159085,-6.659076089
1aj7,-5.83883,-8.65,-8.261675314,-90.7,-7.32657720984,-5.346602586
1ajn,-6.03654,-8.13,-8.012996124,-69.193,-7.34792599395,-3.633479277
1ajv,-10.77341,-10.08,-12.06094072,-230.322,-13.4921944537,-10.66557415
1ajx,-10.77111,-8.87,-12.42014399,-214.59,-12.2499835421,-10.92806885
1alw,-5.07386,-6.28,-7.18406549,-50.679,-6.42124435933,-9.007712884
1amw,-5.80957,-7.87,-7.570899786,-93.409,-6.83674166432,-6.272241793
1apb,-6.72414,-7.92,-7.888656529,-62.93,-6.16779064319,-8.040627145
1apv,-8.95047,-9.57,-10.83136028,-160.822,-10.1544102599,-12.4339595
1awi,-12.14964,-14.03,-13.38722973,-223.718,-8.95324042994,-5.595281776
1b05,-7.77113,-10,-9.781381475,-179.149,-9.61233926276,-9.836643517
1b32,-8.14331,-11.29,-9.974798623,-188.81,-10.1046943557,-9.809012496
1b3f,-8.28762,-11.7,-9.726119433,-188.664,-9.13148223754,-9.518886774
1b3g,-8.05621,-9.84,-10.14058475,-187.015,-9.7986603543,-9.256392074
1b3h,-9.41984,-11.59,-10.70702068,-208.534,-9.44470994918,-8.579432057
1b3l,-7.01069,-10.55,-8.786664715,-153.009,-8.54135835823,-8.137335719
1b40,-9.40293,-12.17,-10.5964966,-202.997,-9.44511152002,-10.05769169
1b46,-8.13891,-10.62,-9.767565964,-185.333,-9.66694427211,-7.294589575
1b51,-7.39622,-11.34,-9.284023095,-169.693,-7.17024057011,-10.18203128
1b58,-9.83048,-12.6,-11.17674804,-207.91,-8.86934463789,-9.104421458
